8|30|41|134.22|True|0|
28|45|33|108.45|False|1|
44|22|29|75.01|False|2|
30|12|40|130.39|True|3|
24|12|1|100.36|False|4|
16|48|29|127.96|True|5|
8|34|6|119.85|True|6|
42|4|39|123.55|True|7|
0|17|12|49.77|False|8|
8|31|35|118.56|True|9|
30|12|40|126.04|True|10|
30|1|18|124.23|True|11|
10|3|46|110.23|True|12|
2|39|23|119.85|True|13|
44|25|0|63.46|False|14|
49|8|17|121.03|True|15|
8|26|30|129.96|True|16|
8|26|2|123.44|True|17|
1|35|33|119.85|True|18|
9|48|6|123.63|True|19|
17|12|29|126.04|True|20|
24|26|2|102.01|False|21|
32|39|25|123.44|True|22|
1|22|2|109.02|False|23|
1|30|41|128.24|True|24|
14|22|27|127.77|True|25|
16|3|34|125.51|True|26|
24|17|7|78.21|False|27|
39|44|3|118.58|True|28|
44|17|24|54.19|False|29|
36|3|1|129.91|True|30|
24|26|2|87.52|False|31|
31|21|35|60.26|False|32|
2|1|2|132.23|True|33|
46|48|31|114.83|True|34|
37|13|46|123.55|True|35|
29|49|23|124.23|True|36|
22|35|0|56.73|False|37|
14|22|27|107.38|False|38|
30|12|40|123.6|True|39|
38|25|13|129.96|True|40|
45|39|36|123.55|True|41|
3|3|9|126.53|True|42|
30|8|18|130.39|True|43|
22|45|45|46.67|False|44|
15|31|22|103.88|False|45|
7|17|49|120.7|True|46|
30|26|30|119.85|True|47|
45|30|41|119.85|True|48|
2|44|14|14.48|False|49|
