24.15|218.78|0.07|62.59|False|0|
24.15|230.76|2.68|102.64|False|1|
24.15|230.76|2.68|102.99|False|2|
17.02|207.28|0.07|74.04|False|3|
24.15|230.76|2.68|0|False|4|
24.15|230.76|2.68|102.99|False|5|
24.15|230.76|2.68|92.38|False|6|
24.15|233.32|0.39|37.37|False|7|
24.15|230.76|2.68|102.64|False|8|
24.15|230.76|2.68|102.64|False|9|
24.15|68.93|0.37|1.77|False|10|
24.15|230.76|2.68|100.36|False|11|
24.15|230.76|2.68|89.97|False|12|
24.15|230.76|2.68|94.01|False|13|
24.15|230.76|2.68|94.56|False|14|
24.15|230.76|2.68|94.56|False|15|
24.15|230.76|2.68|0|False|16|
24.15|230.76|2.68|102.99|False|17|
24.15|230.76|2.68|0|False|18|
24.15|230.76|2.68|94.01|False|19|
24.15|230.76|2.68|98.15|False|20|
24.15|230.76|2.68|0|False|21|
24.15|126.41|2.68|0|False|22|
24.15|230.76|2.68|0|False|23|
17.02|218.78|0.66|36.89|False|24|
24.15|230.76|2.68|0|False|25|
24.15|230.76|2.68|0|False|26|
24.15|230.76|2.68|0|False|27|
24.15|49.41|2.68|0.51|False|28|
24.15|230.76|2.68|100.36|False|29|
24.15|230.76|2.68|0|False|30|
73.56|207.28|1.24|1.65|False|31|
24.15|230.76|2.68|94.56|False|32|
24.15|230.76|2.68|102.99|False|33|
24.15|230.76|2.68|102.64|False|34|
24.15|230.76|2.68|102.99|False|35|
24.15|230.76|2.68|102.64|False|36|
24.15|230.76|2.68|94.56|False|37|
24.15|230.76|2.68|102.99|False|38|
24.15|230.76|2.68|98.15|False|39|
24.15|230.76|2.68|102.99|False|40|
24.15|230.76|2.68|98.15|False|41|
24.15|230.76|2.68|102.99|False|42|
24.15|271.97|2.68|22.64|False|43|
24.15|218.78|0.07|62.59|False|44|
24.15|230.76|2.68|89.97|False|45|
24.15|230.76|2.68|98.84|False|46|
24.15|230.76|2.68|98.84|False|47|
17.02|210.65|0.07|69.58|False|48|
24.15|230.76|2.68|94.56|False|49|
